Epoch,evaluation/Actions Max,evaluation/Actions Mean,evaluation/Actions Min,evaluation/Actions Std,evaluation/Average Returns,evaluation/Num Paths,evaluation/Returns Max,evaluation/Returns Mean,evaluation/Returns Min,evaluation/Returns Std,evaluation/Rewards Max,evaluation/Rewards Mean,evaluation/Rewards Min,evaluation/Rewards Std,evaluation/env_infos/final/is_success Max,evaluation/env_infos/final/is_success Mean,evaluation/env_infos/final/is_success Min,evaluation/env_infos/final/is_success Std,evaluation/env_infos/initial/is_success Max,evaluation/env_infos/initial/is_success Mean,evaluation/env_infos/initial/is_success Min,evaluation/env_infos/initial/is_success Std,evaluation/env_infos/is_success Max,evaluation/env_infos/is_success Mean,evaluation/env_infos/is_success Min,evaluation/env_infos/is_success Std,evaluation/num paths total,evaluation/num steps total,evaluation/path length Max,evaluation/path length Mean,evaluation/path length Min,evaluation/path length Std,exploration/Actions Max,exploration/Actions Mean,exploration/Actions Min,exploration/Actions Std,exploration/Average Returns,exploration/Num Paths,exploration/Returns Max,exploration/Returns Mean,exploration/Returns Min,exploration/Returns Std,exploration/Rewards Max,exploration/Rewards Mean,exploration/Rewards Min,exploration/Rewards Std,exploration/env_infos/final/is_success Max,exploration/env_infos/final/is_success Mean,exploration/env_infos/final/is_success Min,exploration/env_infos/final/is_success Std,exploration/env_infos/initial/is_success Max,exploration/env_infos/initial/is_success Mean,exploration/env_infos/initial/is_success Min,exploration/env_infos/initial/is_success Std,exploration/env_infos/is_success Max,exploration/env_infos/is_success Mean,exploration/env_infos/is_success Min,exploration/env_infos/is_success Std,exploration/num paths total,exploration/num steps total,exploration/path length Max,exploration/path length Mean,exploration/path length Min,exploration/path length Std,time/data storing (s),time/epoch (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/sac training (s),time/saving (s),time/total (s),time/training (s),trainer/Alpha,trainer/Alpha Loss,trainer/Log Pis Max,trainer/Log Pis Mean,trainer/Log Pis Min,trainer/Log Pis Std,trainer/Policy Loss,trainer/Q Targets Max,trainer/Q Targets Mean,trainer/Q Targets Min,trainer/Q Targets Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Min,trainer/Q1 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Min,trainer/Q2 Predictions Std,trainer/QF1 Loss,trainer/QF2 Loss,trainer/num train calls,trainer/policy/mean Max,trainer/policy/mean Mean,trainer/policy/mean Min,trainer/policy/mean Std,trainer/policy/normal/log_std Max,trainer/policy/normal/log_std Mean,trainer/policy/normal/log_std Min,trainer/policy/normal/log_std Std,trainer/policy/normal/std Max,trainer/policy/normal/std Mean,trainer/policy/normal/std Min,trainer/policy/normal/std Std
0,6.56399e-05,-2.1835223e-05,-0.0001066379,4.3452023e-05,-37.82046431704616,20,-0.37959031638748747,-37.82046431704616,-70.61014845445489,18.206521956600206,-0.00737754328932877,-0.756409286340923,-1.4122153032992077,0.3641304853816387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,1000,50,50.0,50,0.0,0.99922997,-0.000116134164,-0.99876714,0.62689036,-40.001884920908026,20,-11.156493558902156,-40.001884920908026,-94.52120905443613,18.32882608437803,0.22417431544695188,-0.8000376984181603,-2.15748759513403,0.4229242620908633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,2000,50,50.0,50,0.0,0.0038801979972049594,53.887553437351016,3.750640730984742,3.8626745919755194,0.00645605701720342,46.253982412366895,0.009815494995564222,76.18911431363085,0.000103952013887465,1.0,-0.0,-2.7926607,-4.0238724,-5.222106,0.49051172,-4.0237637,9.91489,4.064265,1.6012493,1.2888794,0.00010222398,-8.1097605e-05,-0.00024652865,6.746134e-05,2.4106412e-05,-7.367633e-05,-0.00018631041,3.8857834e-05,18.180109,18.18006,0,6.71908e-05,-2.1748483e-05,-0.00013877894,4.4487748e-05,0.0005791894,-0.00021570262,-0.0007669886,0.00047280113,1.0005794,0.99978447,0.9992333,0.00047274242
1,0.26876113,0.0066773645,-0.22454509,0.07017732,-43.12282819207924,20,-15.651942012571379,-43.12282819207924,-79.91426153507727,15.88509495277071,-0.2714400114085054,-0.8624565638415848,-1.8217738382702806,0.3355146516959189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,2000,50,50.0,50,0.0,0.9982863,0.00035392572,-0.9964992,0.59861785,-41.609170907051016,20,-13.179361366594359,-41.609170907051016,-68.97962318811659,17.515034147292194,0.08841761171073675,-0.8321834181410204,-1.749883836751485,0.38020074452742375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60,3000,50,50.0,50,0.0,0.0038920310034882277,54.91625887277769,3.7959147410001606,3.895631546009099,0.006324368005152792,47.20354857877828,0.010837626992724836,149.39291309696273,0.00010998098878189921,0.7408355474472046,-3.030522108078003,-2.958312,-4.1025267,-4.999273,0.38971803,-15.810509,20.812365,12.800253,8.191318,2.0614126,16.703283,12.861382,8.50563,1.3603791,16.659145,12.8706665,8.321682,1.3606371,2.5074763,2.4971042,0,0.30187923,0.0077922703,-0.25283173,0.077321135,-0.053713296,-0.085252844,-0.16574289,0.017080264,0.9477038,0.9184132,0.84726405,0.015547256
2,0.7099612,-0.030821493,-0.8886035,0.2305486,-39.4017812837688,20,-11.316326196227855,-39.4017812837688,-73.2159254070179,16.07213141848211,-0.06495446140784056,-0.788035625675376,-1.9283935582633691,0.3703219013166883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60,3000,50,50.0,50,0.0,0.99807477,-0.04189044,-0.9998689,0.6142484,-40.3157232424785,20,-10.610167859894014,-40.3157232424785,-75.95390752217708,17.189685887748333,0.11089665597047915,-0.8063144648495698,-1.8286051991826289,0.4123001461946861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80,4000,50,50.0,50,0.0,0.0038323180051520467,54.71805059022154,3.7971140629961155,3.86676403801539,0.0063379180210176855,47.03307511715684,0.010830431012436748,222.16511540763895,9.670501458458602e-05,0.5497296452522278,-5.864391803741455,-1.253552,-3.801287,-5.688152,0.7181198,-25.6287,33.770935,23.158653,12.020786,3.769616,31.776497,23.65144,14.117711,3.426024,31.749857,23.594788,12.583144,3.4567168,2.6110888,2.6025982,0,0.6271724,-0.027827308,-0.76214695,0.21097802,-0.030154934,-0.076807946,-0.213984,0.026021607,0.9702952,0.9263782,0.8073613,0.023751153
3,0.91074485,-0.0034855532,-0.8909581,0.36156437,-44.540438158856674,20,-18.319840962444164,-44.540438158856674,-75.3106350996355,13.055270540550021,0.16615323784681776,-0.8908087631771336,-1.776851560484228,0.3314989179119038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80,4000,50,50.0,50,0.0,0.9983805,0.00096931617,-0.99867004,0.6230768,-48.15881322566072,20,-23.45114539057625,-48.15881322566072,-98.29955969169416,19.314482207715795,0.08741254289490158,-0.9631762645132144,-2.1147908663405803,0.45745596346156797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,5000,50,50.0,50,0.0,0.003983907983638346,54.584144926659064,3.7730082249909174,3.850996989000123,0.006312087993137538,46.93886030770955,0.010875687992665917,294.94084284524433,0.00010772098903544247,0.4102858304977417,-8.387580871582031,1.3273201,-3.414714,-7.4238906,1.3605375,-32.332954,48.788353,31.089945,15.029393,6.157572,46.01321,30.764277,12.044719,5.9613338,46.47167,30.834919,13.945444,5.8419733,5.3765354,5.8139515,0,0.9192205,0.002653605,-0.8947326,0.36231396,0.034466006,-0.10888796,-0.535341,0.06696594,1.0350668,0.89877194,0.5854696,0.05714001
4,0.9533139,-0.05657905,-0.94848704,0.4405087,-39.078950037028434,20,-19.870757686950725,-39.078950037028434,-64.95051335180722,10.32037747079825,0.17196771015774348,-0.7815790007405689,-1.8110556639212394,0.30913115319507967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,5000,50,50.0,50,0.0,0.9987147,-0.06204366,-0.9987482,0.6378494,-34.253938925610285,20,-13.831740064030955,-34.253938925610285,-62.9491444253646,13.38751620132738,0.3726246893707302,-0.6850787785122058,-1.8342533304241988,0.3727639526922888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,6000,50,50.0,50,0.0,0.003898326976923272,54.57278764419607,3.765224219998345,3.8358983820071444,0.006469822023063898,46.95026810618583,0.010919741005636752,367.6569028889644,0.00010904599912464619,0.309538871049881,-10.083213806152344,3.036995,-2.5984988,-7.2654424,1.8386662,-37.007057,62.478394,36.932556,6.9905725,9.278529,61.1716,35.858345,7.122692,8.629873,60.53487,35.68306,6.8050194,8.618932,6.7061453,7.54478,0,0.9483406,-0.027143285,-0.9428745,0.48070732,-0.0015838165,-0.16194332,-0.502367,0.093714304,0.99841744,0.8541129,0.6050967,0.076363504
5,0.9914709,-0.06623245,-0.97701436,0.54044706,-39.60167887756529,20,-21.404702969529914,-39.60167887756529,-65.54935318276489,14.75342728507864,0.321186059180281,-0.7920335775513057,-1.9456876155195348,0.4225018603266371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,6000,50,50.0,50,0.0,0.9977234,-0.081417456,-0.99826795,0.6481899,-32.41009604194087,20,-12.647629671440058,-32.41009604194087,-52.76499038648577,8.833711953420641,0.20605441731956,-0.6482019208388173,-1.8391631272917528,0.31435389586308576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140,7000,50,50.0,50,0.0,0.0038403409998863935,54.469381141039776,3.796527751983376,3.8697454330103938,0.006598403997486457,46.781753616029164,0.010805444995639846,440.31471927900566,0.00011015002382919192,0.23737169802188873,-10.171137809753418,8.013412,-1.0724843,-7.300764,2.5733955,-43.61071,73.14667,42.870293,8.188819,11.812737,69.634865,42.61524,9.081697,11.484858,69.65626,42.445927,8.023287,11.39856,7.160316,7.0610695,0,0.9910959,-0.056047853,-0.98025054,0.5923713,-0.019940218,-0.29219574,-0.81399083,0.13461886,0.9802573,0.75320965,0.44308624,0.09711125
6,0.9801226,-0.19954002,-0.9939103,0.5592074,-32.79502926433931,20,-15.336715393722443,-32.79502926433931,-53.94296609689142,9.382909602985215,0.16692955038833787,-0.6559005852867863,-1.7437350825570594,0.36230825565342206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140,7000,50,50.0,50,0.0,0.99767405,-0.16814496,-0.99881464,0.6562333,-31.620601872318012,20,-7.475063890185715,-31.620601872318012,-50.85884870756438,11.04994713254683,0.24786394490518465,-0.6324120374463602,-1.7125132280212048,0.3823100843060677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,8000,50,50.0,50,0.0,0.0038775009743403643,54.44792477285955,3.787018929986516,3.850993803003803,0.006306831986876205,46.78872519690776,0.010892285004956648,512.9558418679808,0.00011022499529644847,0.18528790771961212,-9.22338581085205,11.054735,0.5289216,-5.926897,2.8888924,-49.0125,107.19917,48.175713,10.792257,15.292865,103.27948,47.857994,10.051726,14.858054,102.376976,47.455006,8.888344,14.615895,11.196384,10.681113,0,0.9863508,-0.17166151,-0.98577785,0.64142597,-0.1142199,-0.4314759,-1.0111088,0.15276366,0.89206177,0.6569851,0.36381537,0.09715426
7,0.99032843,0.0030031046,-0.9889568,0.6246556,-24.905121062264286,20,-9.713424115655389,-24.905121062264286,-49.684344210241726,10.389406560343444,0.12889640651501952,-0.49810242124528564,-1.738182879638471,0.3370664700965063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,8000,50,50.0,50,0.0,0.99836266,-0.037721902,-0.9979409,0.675798,-26.318601455660154,20,-13.391618011487964,-26.318601455660154,-47.14911734946192,7.62342889486227,0.3911816873333738,-0.526372029113203,-1.963339396331608,0.35772243223543065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180,9000,50,50.0,50,0.0,0.004033540986711159,54.33941469909041,3.7932449979998637,3.860723917983705,0.006373558018822223,46.66409748609294,0.010832168016349897,585.5294145320076,0.00010902999201789498,0.14773258566856384,-7.72889518737793,10.452111,1.9584336,-4.7956514,2.7867832,-58.91817,134.43202,57.595303,11.892067,18.830027,129.17343,56.911705,11.482492,18.79909,128.47928,57.775024,10.1499405,18.808578,12.152124,12.008075,0,0.9930154,-0.027247392,-0.9956938,0.706897,-0.19391538,-0.5278013,-1.2487665,0.16455223,0.8237276,0.59762627,0.2868584,0.09341187
8,0.99456125,-0.043692943,-0.9969037,0.66044587,-20.58621549055435,20,-3.570221835760346,-20.58621549055435,-33.70970246407894,7.661913469021146,0.2430981913486463,-0.41172430981108693,-1.7781462839920927,0.2995954327383347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180,9000,50,50.0,50,0.0,0.99835336,-0.08100068,-0.9994227,0.69353837,-22.81871469430117,20,-0.13325534859866933,-22.81871469430117,-40.242293126411354,10.372573046592283,0.2400882975887917,-0.45637429388602335,-1.5673287160339697,0.3537776353486883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200,10000,50,50.0,50,0.0,0.003998921980382875,54.308579995820764,3.7628662140050437,3.8443019989936147,0.006505170022137463,46.679838486830704,0.010961691994452849,658.12585929528,0.00010751199442893267,0.11934751272201538,-5.544773101806641,16.842714,3.3915734,-6.2757816,3.2915008,-69.41102,124.02993,67.770874,12.824907,21.211348,122.27822,67.89954,13.036319,21.207186,126.19077,68.22178,14.104911,21.478989,13.163228,13.890413,0,0.99470186,-0.109475605,-0.9975253,0.72916347,-0.19177878,-0.6547267,-1.585154,0.20627768,0.82548946,0.530148,0.20491622,0.10191243
9,0.9961616,0.059098713,-0.98971033,0.65243125,-16.119615758921604,20,7.089491578186372,-16.119615758921604,-46.88744698022845,10.493100450768132,0.2906734694714449,-0.32239231517843203,-1.7029070387587213,0.3292381630512197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200,10000,50,50.0,50,0.0,0.9989992,-0.004624181,-0.9996149,0.69730675,-18.544907794662624,20,-0.08735290256874428,-18.544907794662624,-40.1956305524293,9.069677588941731,0.3900817828614852,-0.3708981558932525,-2.0154003306856776,0.33652452449016146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220,11000,50,50.0,50,0.0,0.003967335011111572,55.396340748877265,3.803611579001881,3.8656112900062,0.006375290016876534,47.70567449883674,0.010989227012032643,731.7662496261182,0.00011152899242006242,0.09753869473934174,-4.585468292236328,13.508521,4.029879,-11.278063,3.4257677,-78.20883,139.42542,76.68231,23.852402,22.041553,136.85667,76.5966,24.652668,21.976166,136.36832,77.040054,25.107126,22.253115,17.322777,19.515131,0,0.99796075,0.027846655,-0.9929948,0.7570388,-0.12649426,-0.6701569,-1.8993056,0.22937858,0.8811792,0.5243736,0.14967252,0.11062772
