Epoch,evaluation/Actions Max,evaluation/Actions Mean,evaluation/Actions Min,evaluation/Actions Std,evaluation/Average Returns,evaluation/Num Paths,evaluation/Returns Max,evaluation/Returns Mean,evaluation/Returns Min,evaluation/Returns Std,evaluation/Rewards Max,evaluation/Rewards Mean,evaluation/Rewards Min,evaluation/Rewards Std,evaluation/env_infos/final/is_success Max,evaluation/env_infos/final/is_success Mean,evaluation/env_infos/final/is_success Min,evaluation/env_infos/final/is_success Std,evaluation/env_infos/initial/is_success Max,evaluation/env_infos/initial/is_success Mean,evaluation/env_infos/initial/is_success Min,evaluation/env_infos/initial/is_success Std,evaluation/env_infos/is_success Max,evaluation/env_infos/is_success Mean,evaluation/env_infos/is_success Min,evaluation/env_infos/is_success Std,evaluation/num paths total,evaluation/num steps total,evaluation/path length Max,evaluation/path length Mean,evaluation/path length Min,evaluation/path length Std,exploration/Actions Max,exploration/Actions Mean,exploration/Actions Min,exploration/Actions Std,exploration/Average Returns,exploration/Num Paths,exploration/Returns Max,exploration/Returns Mean,exploration/Returns Min,exploration/Returns Std,exploration/Rewards Max,exploration/Rewards Mean,exploration/Rewards Min,exploration/Rewards Std,exploration/env_infos/final/is_success Max,exploration/env_infos/final/is_success Mean,exploration/env_infos/final/is_success Min,exploration/env_infos/final/is_success Std,exploration/env_infos/initial/is_success Max,exploration/env_infos/initial/is_success Mean,exploration/env_infos/initial/is_success Min,exploration/env_infos/initial/is_success Std,exploration/env_infos/is_success Max,exploration/env_infos/is_success Mean,exploration/env_infos/is_success Min,exploration/env_infos/is_success Std,exploration/num paths total,exploration/num steps total,exploration/path length Max,exploration/path length Mean,exploration/path length Min,exploration/path length Std,time/data storing (s),time/epoch (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/sac training (s),time/saving (s),time/total (s),time/training (s),trainer/Alpha,trainer/Alpha Loss,trainer/Log Pis Max,trainer/Log Pis Mean,trainer/Log Pis Min,trainer/Log Pis Std,trainer/Policy Loss,trainer/Q Targets Max,trainer/Q Targets Mean,trainer/Q Targets Min,trainer/Q Targets Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Min,trainer/Q1 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Min,trainer/Q2 Predictions Std,trainer/QF1 Loss,trainer/QF2 Loss,trainer/num train calls,trainer/policy/mean Max,trainer/policy/mean Mean,trainer/policy/mean Min,trainer/policy/mean Std,trainer/policy/normal/log_std Max,trainer/policy/normal/log_std Mean,trainer/policy/normal/log_std Min,trainer/policy/normal/log_std Std,trainer/policy/normal/std Max,trainer/policy/normal/std Mean,trainer/policy/normal/std Min,trainer/policy/normal/std Std
0,0.0018795033,0.00017852912,-0.0012971555,0.00057809753,-61.87051982820697,83,-12.173548477923166,-61.87051982820697,-122.99106315693527,21.955684472347286,-0.20173833896003623,-1.0311753304701161,-2.0499688178698503,0.3659292970280282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83,4980,60,60.0,60,0.0,0.9991392,-0.003404385,-0.9982516,0.6245225,-59.69823576489847,17,-14.217094399060665,-59.69823576489847,-105.98053489916818,22.988203414459882,-0.12584119937234364,-1.014870008003274,-1.9883829281665066,0.41843456638092713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,2000,60,58.8235294117647,40,4.705882352941177,0.0037674871273338795,35.648092665243894,17.30350713687949,3.527707451954484,0.016130037838593125,14.791189909446985,0.005711216013878584,41.372519854223356,7.942598313093185e-05,1.0,-0.0,-3.0131292,-4.6712246,-6.1289024,0.58315676,-4.667648,5.3318434,4.0984707,2.178413,0.6665285,-0.0011044764,-0.0035546888,-0.0063611222,0.0010872693,0.005108748,0.001137485,-0.0024259416,0.0016292857,17.270613,17.23239,0,0.0023606324,0.00015389173,-0.0013391854,0.0005797502,0.0010439666,-0.00060782686,-0.0022670676,0.00054492906,1.0010445,0.9993925,0.9977355,0.0005446114
1,0.11026553,0.00233238,-0.10337146,0.026382526,-64.87026829789507,83,-12.666247452971378,-64.87026829789507,-128.45288257225445,27.471367282050693,-0.16660566783128752,-1.0811711382982512,-2.1747175378578016,0.46038421817760267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166,9960,60,60.0,60,0.0,0.9980533,-0.0028542127,-0.9991455,0.60358673,-58.09090990624628,17,-15.24949989859953,-58.09090990624628,-96.29629743541156,24.312984774210715,-0.11059975922184975,-0.9875454684061868,-2.133492175587916,0.44232313547561947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51,3000,60,58.8235294117647,40,4.705882352941177,0.0038045078981667757,35.6605640379712,17.379736731061712,3.565214321948588,0.01584729296155274,14.689890312962234,0.0060023171827197075,78.89040670078248,6.855395622551441e-05,0.7408159971237183,-3.5197975635528564,-3.815796,-4.732539,-5.475973,0.3478057,-17.295921,15.990292,13.888006,11.188226,0.8794092,15.931026,13.88061,11.863212,0.81293494,16.04194,13.88405,11.583818,0.8466159,0.29685336,0.28707016,0,0.07858441,0.0016750487,-0.09661788,0.029335136,-0.052258804,-0.082284175,-0.11774373,0.011997638,0.9490832,0.92107636,0.8889238,0.011029715
2,0.37471712,0.004857557,-0.3726947,0.0830411,-66.38286897488307,83,-22.432283795773817,-66.38286897488307,-127.44002448968538,25.455242777647847,-0.1931092435505319,-1.1063811495813844,-2.1934965816530725,0.4375782801252628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249,14940,60,60.0,60,0.0,0.99906754,-0.0014607843,-0.9995012,0.60973895,-62.70471267587238,17,-31.76944983154444,-62.70471267587238,-106.49883584179214,23.43739447000288,-0.22663070795922707,-1.06598011548983,-2.057131818774518,0.42896380292149705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68,4000,60,58.8235294117647,40,4.705882352941177,0.0037902980111539364,35.463582310592756,17.253533404087648,3.5334382250439376,0.015897509874776006,14.650846153730527,0.006002755835652351,116.19902830105275,7.396400906145573e-05,0.5489749908447266,-7.007944583892822,-3.1431446,-4.6857033,-6.6369543,0.5171986,-26.20148,27.095615,23.672817,18.408276,1.4575533,28.125082,23.697361,18.59242,1.5335859,27.879152,23.669212,18.464735,1.5079381,0.5120415,0.45728868,0,0.3195522,0.010895267,-0.2783198,0.08133595,-0.017638903,-0.07402248,-0.11623291,0.014391323,0.98251575,0.928747,0.89026785,0.013367728
3,0.57926714,0.00040843207,-0.56983364,0.13792023,-67.13966592966186,83,-15.048626769468491,-67.13966592966186,-132.93295582169569,23.794315790135933,-0.16639260653267354,-1.1189944321610308,-2.2913946758068966,0.4181892993379086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332,19920,60,60.0,60,0.0,0.9988454,-0.004869026,-0.9981438,0.6106118,-53.8152401413129,17,-18.52609025685809,-53.8152401413129,-87.95474701139234,21.18820406133648,-0.03530252418105666,-0.9148590824023191,-1.7570013782281972,0.3813747716604274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85,5000,60,58.8235294117647,40,4.705882352941177,0.003886590013280511,35.59148654527962,17.356743060052395,3.5501923710107803,0.015784682938829064,14.658824396319687,0.005977345863357186,153.6502544931136,7.809908129274845e-05,0.4070276618003845,-10.498729705810547,-3.010357,-4.679866,-7.252385,0.59135413,-31.685064,35.90832,29.916498,24.34056,1.877863,34.288055,29.840225,24.384247,1.8461106,34.368305,29.818264,24.81923,1.8315921,0.49861038,0.49177247,0,0.48381656,0.004293285,-0.46097815,0.13628401,-0.014129028,-0.0758492,-0.13821007,0.020255495,0.9859703,0.92714596,0.8709157,0.018757913
4,0.79590046,-0.005478183,-0.92236096,0.2171074,-57.8510288289836,83,-12.784803317331658,-57.8510288289836,-129.72877834483526,19.893336255744174,-0.054484320394111004,-0.9641838138163935,-2.2200019186959703,0.3915517220406715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,415,24900,60,60.0,60,0.0,0.99885744,-0.008855891,-0.99911153,0.6210049,-65.88408226568168,17,-30.820962855677966,-65.88408226568168,-97.56407432929979,19.186945061771723,-0.20746410601950263,-1.1200293985165888,-2.0711195823090622,0.3611902660070641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102,6000,60,58.8235294117647,40,4.705882352941177,0.0037838590797036886,35.42836394626647,17.23246377403848,3.5304171938914806,0.015823035966604948,14.639788411324844,0.006011100020259619,190.9368646973744,7.657194510102272e-05,0.3021090030670166,-13.862759590148926,-2.2034106,-4.5815687,-8.325441,0.90195954,-34.735867,40.055122,33.521645,26.064508,2.5898225,39.127666,33.358406,26.314957,2.4929955,38.55779,33.486504,26.497791,2.4703681,0.5003817,0.45664495,0,0.57510275,-0.023967663,-0.8707731,0.22823478,0.011069437,-0.06824335,-0.2138021,0.027984302,1.0111309,0.9343977,0.8075082,0.026017908
5,0.8798978,0.012409816,-0.9347162,0.30228564,-56.43815034097371,83,-18.756248600414896,-56.43815034097371,-112.27359597116947,20.834046088962346,-0.08376413097519898,-0.9406358390162284,-2.1906808341011756,0.39217208490173155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,498,29880,60,60.0,60,0.0,0.9993616,-0.004691129,-0.9976579,0.62578887,-52.87047360465154,17,-11.504525158530665,-52.87047360465154,-98.62839533506197,18.134024010804197,-0.05333864957689302,-0.8987980512790762,-1.8942727551466216,0.3568241621944049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119,7000,60,58.8235294117647,40,4.705882352941177,0.0038417780306190252,35.572149384068325,17.341456714784727,3.5622964850626886,0.015972123946994543,14.642419231357053,0.006088642869144678,228.38669452327304,7.440801709890366e-05,0.22450540959835052,-16.97393035888672,-1.500206,-4.362499,-6.5577583,1.0094085,-35.19915,42.07547,34.41738,24.078247,3.3739204,41.40142,34.273746,24.150114,3.1227105,41.59084,34.2909,24.659105,3.0916827,0.5277221,0.63774097,0,0.8620454,-0.0024779006,-0.811246,0.27328536,0.046856266,-0.06953986,-0.25862023,0.034415424,1.0479714,0.93336713,0.7721162,0.03142671
6,0.928499,0.00503259,-0.92609596,0.3375326,-48.86970959377211,83,-20.228064642623693,-48.86970959377211,-81.97957138906251,12.928434452377495,-0.11728319565111996,-0.8144951598962019,-2.0961573135934217,0.30106231876078965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,581,34860,60,60.0,60,0.0,0.99908787,0.008801026,-0.99653894,0.6304534,-48.27346281783629,17,-31.6036046640935,-48.27346281783629,-85.04470253379195,13.740878897276518,-0.1454531749239778,-0.820648867903217,-1.9444384884056503,0.35223093250119736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136,8000,60,58.8235294117647,40,4.705882352941177,0.0037905049975961447,35.38097393233329,17.24091208889149,3.525897393003106,0.015879719983786345,14.588375217514113,0.006045602029189467,265.6340622785501,7.34059140086174e-05,0.16723893582820892,-19.65787124633789,0.27917194,-3.9922953,-7.1473103,1.46462,-34.541985,41.691586,34.151993,23.498869,3.7121298,40.94062,33.837048,23.403864,3.5893805,40.381073,33.82419,24.041195,3.48336,0.5957837,0.6787672,0,0.90716225,-0.037291583,-0.90133774,0.3540472,0.043918163,-0.07987947,-0.3919117,0.054977335,1.0448968,0.9245893,0.6757638,0.049022604
7,0.9829996,-0.021398073,-0.9836615,0.37916616,-45.39819483534476,83,-16.85562350869522,-45.39819483534476,-82.30379239447258,13.50741152648632,-0.14359598833973142,-0.7566365805890792,-2.2717621789854903,0.2995141365872496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,664,39840,60,60.0,60,0.0,0.9976814,-0.002906008,-0.99787575,0.63680774,-46.802434676245284,17,-19.064595589140026,-46.802434676245284,-63.95392531755624,10.518232796007522,-0.0846214733148422,-0.7956413894961698,-1.9168031393967881,0.32149327126524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153,9000,60,58.8235294117647,40,4.705882352941177,0.0038619530387222767,35.4294382634107,17.244108496932313,3.545519459992647,0.01592850498855114,14.613913202425465,0.00603185105137527,302.924782861257,7.479498162865639e-05,0.12518443167209625,-21.910003662109375,1.649046,-3.54396,-7.1361823,1.499603,-34.43247,42.92768,33.83078,16.78713,4.0925207,43.770996,33.928368,17.925303,4.029221,43.77146,33.901352,17.141596,4.047144,0.5622444,0.55775905,0,0.9361777,-0.07311933,-0.9335499,0.39224124,0.15737411,-0.08643698,-0.38999537,0.07069393,1.1704334,0.919428,0.67706,0.06258695
8,0.964844,0.0012774364,-0.9943926,0.44549683,-42.268853715325626,83,-16.732855683753233,-42.268853715325626,-69.32152705317091,11.747426694015065,-0.05066256796139333,-0.7044808952554271,-2.1452101201276053,0.2969872435735903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,747,44820,60,60.0,60,0.0,0.99946386,0.0027492975,-0.9977477,0.6472215,-42.48397095805602,17,-22.958189006845895,-42.48397095805602,-64.84801627166651,11.810481030605,-0.07041282050341756,-0.7222275062869523,-1.6778837400261801,0.27840563530736046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170,10000,60,58.8235294117647,40,4.705882352941177,0.0038199450355023146,35.321310037514195,17.1879467361141,3.5243980980012566,0.016291119856759906,14.58262698748149,0.006149213993921876,340.1082956593018,7.793703116476536e-05,0.09421928226947784,-22.34470558166504,4.187852,-2.4595566,-6.317182,2.046604,-32.68039,41.25395,32.13806,17.100487,5.2877903,41.07812,32.371284,17.934553,5.18571,41.179565,32.181297,16.318453,5.155367,0.75550425,0.7476504,0,0.91529197,-0.059996843,-0.9775615,0.48441857,0.08702714,-0.12336702,-0.5847923,0.11501939,1.0909263,0.889527,0.5572216,0.09539017
9,0.9933888,-0.045380987,-0.99479645,0.5066581,-37.61970890889838,83,-13.315190725120042,-37.61970890889838,-79.39015559266355,12.659182322189046,-0.017407806663156267,-0.6269951484816398,-2.054507988924245,0.326706314029621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,830,49800,60,60.0,60,0.0,0.9998434,-0.01284986,-0.99772733,0.6593395,-40.03735342746429,17,-24.0005531378402,-40.03735342746429,-53.76013771789276,8.486189365918458,-0.08109618029938576,-0.6806350082668928,-1.7134375500535506,0.2613488603605914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187,11000,60,58.8235294117647,40,4.705882352941177,0.003826580010354519,35.6011607774999,17.26088128099218,3.5395178489852697,0.015773069113492966,14.775068482616916,0.006014159880578518,377.58578763040714,7.935590110719204e-05,0.07138428837060928,-23.51536750793457,8.302181,-1.9084246,-9.306326,2.710262,-31.089893,41.263153,30.754875,9.874278,6.5388894,42.61859,30.80362,9.808992,6.381549,43.062828,30.907919,10.651785,6.3718953,1.194994,1.5139537,0,0.9987633,-0.009825458,-0.9922436,0.54618704,0.12478219,-0.16219744,-0.96687055,0.13828397,1.1329017,0.8580584,0.38027123,0.11101045
