Epoch,evaluation/Actions Max,evaluation/Actions Mean,evaluation/Actions Min,evaluation/Actions Std,evaluation/Average Returns,evaluation/Num Paths,evaluation/Returns Max,evaluation/Returns Mean,evaluation/Returns Min,evaluation/Returns Std,evaluation/Rewards Max,evaluation/Rewards Mean,evaluation/Rewards Min,evaluation/Rewards Std,evaluation/env_infos/final/is_success Max,evaluation/env_infos/final/is_success Mean,evaluation/env_infos/final/is_success Min,evaluation/env_infos/final/is_success Std,evaluation/env_infos/initial/is_success Max,evaluation/env_infos/initial/is_success Mean,evaluation/env_infos/initial/is_success Min,evaluation/env_infos/initial/is_success Std,evaluation/env_infos/is_success Max,evaluation/env_infos/is_success Mean,evaluation/env_infos/is_success Min,evaluation/env_infos/is_success Std,evaluation/num paths total,evaluation/num steps total,evaluation/path length Max,evaluation/path length Mean,evaluation/path length Min,evaluation/path length Std,exploration/Actions Max,exploration/Actions Mean,exploration/Actions Min,exploration/Actions Std,exploration/Average Returns,exploration/Num Paths,exploration/Returns Max,exploration/Returns Mean,exploration/Returns Min,exploration/Returns Std,exploration/Rewards Max,exploration/Rewards Mean,exploration/Rewards Min,exploration/Rewards Std,exploration/env_infos/final/is_success Max,exploration/env_infos/final/is_success Mean,exploration/env_infos/final/is_success Min,exploration/env_infos/final/is_success Std,exploration/env_infos/initial/is_success Max,exploration/env_infos/initial/is_success Mean,exploration/env_infos/initial/is_success Min,exploration/env_infos/initial/is_success Std,exploration/env_infos/is_success Max,exploration/env_infos/is_success Mean,exploration/env_infos/is_success Min,exploration/env_infos/is_success Std,exploration/num paths total,exploration/num steps total,exploration/path length Max,exploration/path length Mean,exploration/path length Min,exploration/path length Std,time/data storing (s),time/epoch (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/sac training (s),time/saving (s),time/total (s),time/training (s),trainer/Alpha,trainer/Alpha Loss,trainer/Log Pis Max,trainer/Log Pis Mean,trainer/Log Pis Min,trainer/Log Pis Std,trainer/Policy Loss,trainer/Q Targets Max,trainer/Q Targets Mean,trainer/Q Targets Min,trainer/Q Targets Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Min,trainer/Q1 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Min,trainer/Q2 Predictions Std,trainer/QF1 Loss,trainer/QF2 Loss,trainer/num train calls,trainer/policy/mean Max,trainer/policy/mean Mean,trainer/policy/mean Min,trainer/policy/mean Std,trainer/policy/normal/log_std Max,trainer/policy/normal/log_std Mean,trainer/policy/normal/log_std Min,trainer/policy/normal/log_std Std,trainer/policy/normal/std Max,trainer/policy/normal/std Mean,trainer/policy/normal/std Min,trainer/policy/normal/std Std
0,0.0021987904,0.00030632832,-0.0030215897,0.0009992636,-59.647283212652354,100,-11.14720715535206,-59.647283212652354,-102.75594663895299,20.258914084064276,-0.21913956589268,-1.1929456642530474,-2.0562190207895803,0.40518234406451376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,5000,50,50.0,50,0.0,0.99911046,-0.008674419,-0.998252,0.625077,-59.542469643518984,20,-35.404724588655185,-59.542469643518984,-107.81003864944641,17.69039473434688,-0.21180181447671628,-1.1908493928703796,-2.36862139176362,0.41081124241770095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,2000,50,50.0,50,0.0,0.00380865900660865,35.63782004130189,17.289244988991413,3.570931138994638,0.015910123998764902,14.752478180307662,0.005365302000427619,41.04802840037155,8.164800237864256e-05,1.0,-0.0,-2.4383726,-3.9282436,-5.1732574,0.5452824,-3.92368,6.089386,3.4585721,0.8198025,0.80232275,-0.0007211729,-0.003958194,-0.007381829,0.0013993749,0.00045118883,-0.002804738,-0.007094379,0.0016911242,12.632853,12.624823,0,0.0022638242,0.00020406628,-0.0029289753,0.0010127848,0.0017929684,-0.0003694937,-0.0021720855,0.00077689445,1.0017946,0.9996309,0.9978303,0.00077667256
1,0.17706235,0.013608836,-0.096000955,0.040529452,-56.698144379689026,100,-13.773087048596345,-56.698144379689026,-103.6407642741835,19.628606439444162,-0.18232472460597982,-1.1339628875937804,-2.0931550978848574,0.3992551015830993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200,10000,50,50.0,50,0.0,0.9960307,0.0018197201,-0.99626493,0.5994754,-61.428073415601304,20,-25.932471283123387,-61.428073415601304,-91.07103689901885,13.27290368705094,-0.3542805725710923,-1.228561468312026,-2.0458015550066886,0.3237736558070311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60,3000,50,50.0,50,0.0,0.003816803975496441,35.849162633676315,17.441600749007193,3.5704087050107773,0.015767225006129593,14.81180843769107,0.005685276002623141,78.49363201580127,7.543698302470148e-05,0.7407932877540588,-3.0106725692749023,-3.0854197,-4.0344505,-5.2068815,0.34067476,-15.022393,16.263615,12.181887,8.222908,1.4323968,16.129175,12.077131,8.950226,1.2269552,15.597384,12.115922,8.860055,1.2335244,0.60345984,0.5919438,0,0.15398274,0.0098790275,-0.13473989,0.044755142,-0.065796316,-0.10900495,-0.15258193,0.016088795,0.93632156,0.8968422,0.85848856,0.014444431
2,0.5156508,0.038611867,-0.3767654,0.10842902,-60.66385451557169,100,-21.165090137519318,-60.66385451557169,-108.15880143057774,18.44901549447151,-0.18315896479212265,-1.2132770903114338,-2.272547752996608,0.41516342926498906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300,15000,50,50.0,50,0.0,0.9980377,0.013724549,-0.9985089,0.6067427,-64.52356233288978,20,-21.23211039656346,-64.52356233288978,-103.70957279139934,23.538272152923387,-0.19842591505652685,-1.2904712466577954,-2.3003838330799784,0.5135684299344961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80,4000,50,50.0,50,0.0,0.003782775020226836,35.89155009717797,17.46751361299539,3.57363500201609,0.015706165024312213,14.825139561115066,0.005704197013983503,115.98824343070737,6.878399290144444e-05,0.5490624904632568,-6.035099029541016,-2.202917,-4.0661654,-5.034558,0.5292911,-22.305973,25.148125,20.082743,14.231582,2.20258,25.003323,20.137901,14.23366,2.0903096,24.983828,20.133696,14.14566,2.048689,0.449408,0.42929235,0,0.4826458,0.03936558,-0.39874017,0.1140349,-0.021863386,-0.0771844,-0.13168345,0.015622658,0.9783739,0.9258322,0.87661844,0.014482447
3,0.6070814,-0.0024329312,-0.73608387,0.1820359,-59.51145516002421,100,-18.926157339393672,-59.51145516002421,-102.11761858401157,18.64656233756691,-0.2011170955620107,-1.1902291032004844,-2.106871447853082,0.40707002654554747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400,20000,50,50.0,50,0.0,0.997481,0.0014776066,-0.99800694,0.6131663,-55.92217456700696,20,-19.629608272876172,-55.92217456700696,-97.62124733669347,23.195193758780057,-0.2128012055383947,-1.1184434913401393,-2.1971936526383167,0.5006527716547067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,5000,50,50.0,50,0.0,0.00380830597714521,35.983562889829045,17.568657527008327,3.5771764530218206,0.015868574002524838,14.812167871830752,0.005809649010188878,153.5866340189532,7.450897828675807e-05,0.4075545072555542,-8.911783218383789,-1.7716808,-3.9286718,-5.428175,0.76342493,-27.025242,34.40292,25.227615,11.972831,4.169578,32.86186,25.342163,12.180912,4.030377,32.802208,25.591541,11.838124,4.070877,0.96601164,1.0222642,0,0.5475925,0.00078907027,-0.7281962,0.19695993,-0.0013166986,-0.076484896,-0.1739184,0.02552684,0.99868417,0.9266684,0.84036547,0.02361815
4,0.9356026,0.062022608,-0.9102775,0.33484194,-50.70364592846168,100,-21.370301257770965,-50.70364592846168,-91.21045093514047,14.684684907673471,0.47936961547328333,-1.0140729185692337,-2.1540423745692614,0.3938613637576754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500,25000,50,50.0,50,0.0,0.9989905,0.04438221,-0.99898416,0.62585765,-50.12351411327954,20,-18.395193676238435,-50.12351411327954,-99.02244259402869,17.30102880446224,-0.047220174932931756,-1.0024702822655909,-2.1009986597200925,0.42967513701424453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,6000,50,50.0,50,0.0,0.0038500360096804798,35.80332619798719,17.423466181004187,3.584335307998117,0.01601791600114666,14.769916567980545,0.0056629479804541916,190.99504407600034,7.724101305939257e-05,0.30396369099617004,-10.942529678344727,2.1177044,-3.1888623,-5.9796085,1.3567964,-29.014853,38.55534,27.910183,11.311825,6.1663876,39.144577,27.90123,11.347007,5.8715243,39.312435,27.812569,10.444684,5.988793,1.1846235,1.1182544,0,0.8846004,0.08455819,-0.90978676,0.3707787,0.07237305,-0.0886639,-0.36134043,0.05521921,1.0750563,0.9165155,0.69674176,0.04887053
5,0.981554,0.10744045,-0.9752792,0.41095853,-49.518755607075164,100,-19.82922286414287,-49.518755607075164,-92.40036459038643,15.27857504563098,-0.07706348692863131,-0.9903751121415031,-2.230939549037299,0.4137576032381556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600,30000,50,50.0,50,0.0,0.9992336,0.053431444,-0.9994029,0.64441407,-48.71244293433338,20,-20.549523350772695,-48.71244293433338,-76.46400533066792,15.65470924585652,-0.1891631320211853,-0.9742488586866677,-2.0087392308578633,0.3869057442333148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140,7000,50,50.0,50,0.0,0.003849267988698557,35.87803735816851,17.498345596977742,3.5771641460014507,0.01593969200621359,14.777026828203816,0.005635129986330867,228.48513999400893,7.66970042604953e-05,0.228306844830513,-12.870869636535645,3.22017,-2.7138152,-6.0946226,1.6273164,-32.057327,43.02061,31.229708,12.219658,5.951929,43.13365,31.295612,10.565765,5.8493366,43.54888,31.221882,10.745934,5.8853235,2.6109502,2.2499578,0,0.95359063,0.124627,-0.9391919,0.43967465,0.10995566,-0.09416568,-0.47737315,0.08886647,1.1162286,0.9135789,0.620411,0.07628099
6,0.9964667,0.07582888,-0.99350476,0.44056362,-43.215893467838114,100,-18.691304298502416,-43.215893467838114,-72.34413303749442,11.666196559813384,-0.07492015444199344,-0.8643178693567622,-2.166672131324118,0.36259806106615133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700,35000,50,50.0,50,0.0,0.9988352,0.06433424,-0.999393,0.6463683,-40.07556169894283,20,-20.824445807499732,-40.07556169894283,-87.96095287463888,14.861581530317384,-0.10727802976269483,-0.8015112339788567,-1.8778762906429125,0.3870662735681869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,8000,50,50.0,50,0.0,0.0038047390116844326,35.71803863134119,17.401211154996417,3.559738635987742,0.0158362360089086,14.731740309332963,0.005630357016343623,265.80724110474694,7.719898712821305e-05,0.1726818084716797,-14.104544639587402,4.9521675,-2.0308082,-6.641116,2.3940966,-32.36828,46.53246,31.543888,3.6808095,8.70933,51.008186,31.851889,2.9955263,8.677205,50.297,31.658073,3.100513,8.5783415,2.2549496,1.9828176,0,0.96563303,0.10485851,-0.97302634,0.48379076,0.21326627,-0.105485104,-0.6345001,0.12122928,1.2377142,0.9061722,0.5302005,0.10169462
7,0.9983244,0.043304008,-0.98243535,0.45088062,-41.86098851193201,100,-16.18285895653654,-41.86098851193201,-82.4118669867657,13.912333181480912,0.4800318080894949,-0.8372197702386404,-2.2548141949703577,0.3959540935284851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800,40000,50,50.0,50,0.0,0.99970967,0.006929227,-0.9990028,0.66188633,-41.090166199517945,20,-21.43526075751329,-41.090166199517945,-63.13139743149964,11.62446034974211,-0.09331056704021984,-0.8218033239903592,-1.626716481085302,0.33511367292947464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180,9000,50,50.0,50,0.0,0.003834619012195617,35.8857926306664,17.565004050993593,3.583941081975354,0.01567056801286526,14.711609951715218,0.005657209985656664,303.3095342706074,7.514897151850164e-05,0.13164344429969788,-15.014670372009277,7.6699376,-1.4049319,-4.8679094,2.5582116,-34.365067,53.67329,33.507153,4.53354,9.332477,53.298065,33.6572,5.1992793,9.22299,53.81083,33.725044,5.656362,9.301895,2.2069588,2.1681716,0,0.99641705,0.03677084,-0.9972798,0.54560333,0.33373562,-0.1296422,-1.2913833,0.17790222,1.396174,0.8914426,0.27489027,0.14452252
8,0.99904835,0.074152805,-0.9977662,0.4958865,-33.127287354744865,100,-17.272319519792312,-33.127287354744865,-66.8625179679546,9.624266730719073,-0.033034310815823295,-0.6625457470948973,-2.0748850111520865,0.3314465812188541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900,45000,50,50.0,50,0.0,0.9998157,0.05453899,-0.99966645,0.6637207,-36.83427600328771,20,-23.495990046562593,-36.83427600328771,-47.972243251675486,7.473231510580354,-0.1264943771844535,-0.7366855200657542,-2.066103926908331,0.31459390800493964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200,10000,50,50.0,50,0.0,0.0038748500228393823,35.80303228253615,17.45423954600119,3.557427774008829,0.015794025996001437,14.76593774050707,0.005682288989191875,340.72607158427127,7.605701102875173e-05,0.10065345466136932,-13.423739433288574,11.70074,0.15360643,-5.972763,3.2324843,-34.523376,56.310246,33.867607,1.0049479,10.495808,54.934875,33.90319,4.8413267,10.217898,55.184322,34.034264,4.29328,10.21005,2.700856,2.8633847,0,0.9960665,0.12711543,-0.9978854,0.60482806,0.2397559,-0.21833079,-0.8701315,0.18174028,1.2709389,0.81654817,0.41889647,0.13804172
9,0.9997687,0.05735686,-0.9998265,0.5317046,-34.75678794943545,100,-15.416110905455987,-34.75678794943545,-69.32923979034759,11.141796541137309,-0.061207787918680825,-0.6951357589887089,-2.3000971720932086,0.36252264465474116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000,50000,50,50.0,50,0.0,0.9998266,0.069492586,-0.99977374,0.66628027,-34.01636302430137,20,-18.847017522842386,-34.01636302430137,-64.38685677399123,10.86627980506985,-0.061708220986855765,-0.6803272604860274,-1.8940222826540352,0.3549619155837174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220,11000,50,50.0,50,0.0,0.0038476389891002327,35.94727616550517,17.551015346019994,3.6249528249900322,0.015771976992255077,14.74594949252787,0.00566311099100858,378.29752188175917,7.577499491162598e-05,0.07733617722988129,-14.915243148803711,15.16593,0.17280777,-6.279385,3.633387,-35.53521,57.07221,35.071175,1.9222348,11.723524,57.23282,34.861286,1.9719881,11.653847,57.44079,34.896347,3.2270982,11.588144,2.7997189,2.6314826,0,0.9995764,0.06443908,-0.9993608,0.635901,0.12538064,-0.26740336,-0.90776074,0.19944598,1.1335799,0.78007823,0.4034266,0.14666596
