Epoch,evaluation/Actions Max,evaluation/Actions Mean,evaluation/Actions Min,evaluation/Actions Std,evaluation/Average Returns,evaluation/Num Paths,evaluation/Returns Max,evaluation/Returns Mean,evaluation/Returns Min,evaluation/Returns Std,evaluation/Rewards Max,evaluation/Rewards Mean,evaluation/Rewards Min,evaluation/Rewards Std,evaluation/env_infos/final/is_success Max,evaluation/env_infos/final/is_success Mean,evaluation/env_infos/final/is_success Min,evaluation/env_infos/final/is_success Std,evaluation/env_infos/initial/is_success Max,evaluation/env_infos/initial/is_success Mean,evaluation/env_infos/initial/is_success Min,evaluation/env_infos/initial/is_success Std,evaluation/env_infos/is_success Max,evaluation/env_infos/is_success Mean,evaluation/env_infos/is_success Min,evaluation/env_infos/is_success Std,evaluation/num paths total,evaluation/num steps total,evaluation/path length Max,evaluation/path length Mean,evaluation/path length Min,evaluation/path length Std,exploration/Actions Max,exploration/Actions Mean,exploration/Actions Min,exploration/Actions Std,exploration/Average Returns,exploration/Num Paths,exploration/Returns Max,exploration/Returns Mean,exploration/Returns Min,exploration/Returns Std,exploration/Rewards Max,exploration/Rewards Mean,exploration/Rewards Min,exploration/Rewards Std,exploration/env_infos/final/is_success Max,exploration/env_infos/final/is_success Mean,exploration/env_infos/final/is_success Min,exploration/env_infos/final/is_success Std,exploration/env_infos/initial/is_success Max,exploration/env_infos/initial/is_success Mean,exploration/env_infos/initial/is_success Min,exploration/env_infos/initial/is_success Std,exploration/env_infos/is_success Max,exploration/env_infos/is_success Mean,exploration/env_infos/is_success Min,exploration/env_infos/is_success Std,exploration/num paths total,exploration/num steps total,exploration/path length Max,exploration/path length Mean,exploration/path length Min,exploration/path length Std,time/data storing (s),time/epoch (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/sac training (s),time/saving (s),time/total (s),time/training (s),trainer/Alpha,trainer/Alpha Loss,trainer/Log Pis Max,trainer/Log Pis Mean,trainer/Log Pis Min,trainer/Log Pis Std,trainer/Policy Loss,trainer/Q Targets Max,trainer/Q Targets Mean,trainer/Q Targets Min,trainer/Q Targets Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Min,trainer/Q1 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Min,trainer/Q2 Predictions Std,trainer/QF1 Loss,trainer/QF2 Loss,trainer/num train calls,trainer/policy/mean Max,trainer/policy/mean Mean,trainer/policy/mean Min,trainer/policy/mean Std,trainer/policy/normal/log_std Max,trainer/policy/normal/log_std Mean,trainer/policy/normal/log_std Min,trainer/policy/normal/log_std Std,trainer/policy/normal/std Max,trainer/policy/normal/std Mean,trainer/policy/normal/std Min,trainer/policy/normal/std Std
0,0.00037111898,-5.5065288e-05,-0.00053210073,0.00017272719,14.212732138097925,100,142.71655083096152,14.212732138097925,-63.11986292415433,41.56678373804827,2.8572276526653337,0.2842546427619585,-1.2629543315570864,0.8313359430344327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,5000,50,50.0,50,0.0,0.99994445,-0.010773378,-0.9987373,0.6306327,8.707163474195942,20,58.03106586204059,8.707163474195942,-42.50806815090523,25.052884277655867,5.015239925241964,0.17414326948391887,-0.9652171030591069,0.7520771519399438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,2000,50,50.0,50,0.0,0.0038321581669151783,54.193429939914495,21.969940850045532,4.479584765154868,0.01605224795639515,27.71514870529063,0.0087723801843822,60.73205352970399,9.883311577141285e-05,1.0,-0.0,-3.055336,-4.6308584,-6.15271,0.6215199,-4.6306787,10005.844,478.89557,3.4184442,2112.5127,0.00030790843,-0.00011673176,-0.0005016654,0.00013971596,0.0004234947,-6.161781e-08,-0.00043393165,0.00018914092,4692050.5,4692050.5,0,0.00031427355,-7.4147414e-05,-0.00038633807,0.00015558078,0.0011650687,0.0003691911,-0.0010293057,0.0006623599,1.0011657,1.0003694,0.9989712,0.00066246657
1,0.99866056,-0.12710463,-0.9986141,0.8495992,-8.288636277501608,100,120.4283358392939,-8.288636277501608,-56.53327600292467,36.29989934308613,10.638742213986767,-0.16577272555003214,-1.312835994556971,0.818622303573931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200,10000,50,50.0,50,0.0,0.9998468,-0.12494639,-0.9999142,0.8706202,-6.186319100581988,20,74.23932874323833,-6.186319100581988,-49.05146597806658,26.686954152514506,5.403712518800032,-0.12372638201163974,-1.1131087945786462,0.6273439836341803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60,3000,50,50.0,50,0.0,0.00392565899528563,54.90228769625537,22.16952215996571,4.515707820886746,0.015759696951135993,28.187705754535273,0.009567254921421409,117.34999397885986,9.934999980032444e-05,1.3163260221481323,-4.418394565582275,35.865776,23.075977,5.9990673,6.2681932,-4292.0796,13715.487,3589.1216,2164.2266,2352.2646,4685.165,3863.3672,2081.1519,500.61844,4674.227,3834.0737,2055.3914,488.16132,5249869.5,5217086.0,0,0.999119,-0.09196768,-0.99880314,0.94297665,-0.40544155,-0.70007116,-1.306231,0.14285907,0.66668236,0.5014496,0.27083892,0.06795921
2,0.9999986,-0.24182644,-0.99999994,0.8825154,13.598887409795013,100,201.61892681009562,13.598887409795013,-53.00476971466724,53.972415258963295,38.02504198716061,0.27197774819590026,-1.278268436978557,1.336532181134345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300,15000,50,50.0,50,0.0,0.99999905,0.20256096,-0.99999994,0.87367916,24.46312267279698,20,132.2203822332737,24.46312267279698,-45.035168308879285,46.98352183533151,12.777165932875231,0.4892624534559397,-1.526687440575209,1.3401212422729931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80,4000,50,50.0,50,0.0,0.003936466993764043,54.64181298320182,22.07740746391937,4.497486985987052,0.015904795844107866,28.037352496525273,0.009607794927433133,173.70757005922496,0.00011697900481522083,1.8442567586898804,-11.559924125671387,50.973866,25.88641,-0.58427095,7.840929,-10837.637,21044.953,9522.818,3789.0696,3049.4534,22938.926,10327.112,3989.5503,2581.7163,22647.188,10243.061,3963.6062,2543.6274,7254733.0,6984693.5,0,0.9999982,0.29456657,-0.99999917,0.910566,-0.17355326,-0.8216101,-2.5204916,0.35001546,0.8406724,0.46332875,0.08042006,0.13432473
3,0.9999983,0.0006137527,-0.99998504,0.939362,-19.167028665204867,100,77.19651284686435,-19.167028665204867,-75.72365965779723,31.284276035367093,5.5384315099452825,-0.38334057330409743,-1.597350222439216,0.7248306620073903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400,20000,50,50.0,50,0.0,0.9999996,0.001769358,-0.9999991,0.9516989,-10.150951052653145,20,132.6273829276812,-10.150951052653145,-61.17572698089436,45.915173744315325,67.06762964832588,-0.20301902105306294,-1.3736700746086628,2.308901390518836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,5000,50,50.0,50,0.0,0.003894147928804159,55.66645361576229,22.097353748977184,4.5002346590626985,0.016165593173354864,29.03889108542353,0.009818571154028177,231.11526744742878,9.5810042694211e-05,2.51578688621521,-19.680110931396484,55.982224,28.33147,7.542858,11.412698,-18611.191,41890.46,17691.016,6121.6406,7174.3115,35995.105,18088.988,6744.041,7635.799,36510.016,18172.855,6777.369,7819.222,6953036.5,7477304.5,0,0.9999982,0.03508339,-0.999999,0.9641702,0.014667185,-0.7614239,-1.4757854,0.23658544,1.0147753,0.47936678,0.22859912,0.104291014
4,0.9999153,-0.15437832,-0.99995697,0.8811376,7.825145123598287,100,283.56935452405696,7.825145123598287,-63.43365972111098,57.77531874468293,8.252620379849882,0.15650290247196574,-1.4579513669064594,1.2943495230113609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500,25000,50,50.0,50,0.0,0.9999914,0.06768364,-0.99999154,0.91949016,-16.62152426663197,20,117.40435541647892,-16.62152426663197,-75.86714164975227,56.831647816981054,20.94981725818436,-0.3324304853326394,-1.621093804831741,1.6036177225788242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,6000,50,50.0,50,0.0,0.003954309970140457,55.05414324812591,22.147952186875045,4.516498415032402,0.015854783123359084,28.360098984092474,0.009688002057373524,287.90370011376217,9.656697511672974e-05,3.4116928577423096,-23.59139633178711,57.421394,26.223625,9.985828,7.5794163,-28068.918,53928.496,27063.75,11901.146,9320.059,47501.805,27301.297,11176.872,9240.537,47591.28,27324.215,11181.307,9309.037,5984419.5,6229897.0,0,0.99999607,0.103580125,-0.9999756,0.96852314,-0.051071852,-0.696551,-1.3615361,0.16452818,0.9502104,0.5049754,0.2562668,0.08212118
5,0.999644,-0.34637204,-1.0,0.8096708,1.9862709530832559,100,495.1103951286427,1.9862709530832559,-68.06416750520481,64.98507347744165,13.834653970374685,0.03972541906166504,-1.7324411338881531,1.4577758094344369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600,30000,50,50.0,50,0.0,0.9998548,-0.32046127,-1.0,0.81267244,17.30927053610808,20,94.42223819032347,17.30927053610808,-45.361210089814,36.76925663302251,12.3980558263681,0.34618541072216164,-1.2102420672565506,1.0989139254917615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140,7000,50,50.0,50,0.0,0.003957672975957394,54.70509376632981,21.942055590916425,4.469896093942225,0.016093754209578037,28.263327901018783,0.009669891092926264,344.3337932943832,9.286217391490936e-05,4.556445121765137,-25.028030395507812,39.94302,23.503345,6.090968,5.7829094,-38340.188,78242.92,36723.93,14642.997,11698.033,75309.31,37380.17,15327.608,11382.105,75216.61,37395.137,15132.1875,11387.32,7603693.0,7418528.5,0,0.99976116,0.099630125,-0.9999999,0.9600943,0.37056947,-0.65766746,-1.2213622,0.15743442,1.4485593,0.52502865,0.29482827,0.09559999
6,0.99994355,0.5133833,-0.99957734,0.7730237,-3.688173443981617,100,94.38986116123412,-3.688173443981617,-72.4804350554152,37.1225573294844,14.233419367981107,-0.07376346887963232,-1.5338006668797783,0.872926806372649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700,35000,50,50.0,50,0.0,0.9999843,0.5247873,-0.99978584,0.7668819,-5.076444301725559,20,138.37023309753644,-5.076444301725559,-60.1154901024245,41.992659412715675,3.7476065921695936,-0.10152888603451114,-1.3127007319858341,0.9500662513737282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,8000,50,50.0,50,0.0,0.003990782890468836,54.766598254907876,22.17744598397985,4.519963812083006,0.01585555006749928,28.039535311982036,0.009705520933493972,400.82727243728004,0.00010129297152161598,6.08980131149292,-27.51034164428711,34.086586,22.227558,8.96274,4.5736265,-48129.094,107396.35,46128.664,20213.826,16679.564,106984.76,46775.96,20877.646,17070.969,106289.59,46747.938,20989.357,16972.52,8014604.5,7776605.5,0,0.9998923,0.14049844,-0.9994181,0.95637727,0.06845875,-0.63819927,-0.9906764,0.14492081,1.0708565,0.53411704,0.37132543,0.08454579
7,0.9999392,0.34047544,-0.9999534,0.8906792,-3.579335602139105,100,188.3172544123706,-3.579335602139105,-70.82804969556037,41.38452077222672,8.896182204208102,-0.07158671204278212,-1.5924506825607936,0.9825864037086725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800,40000,50,50.0,50,0.0,0.99998426,0.34080002,-0.99998754,0.8925301,5.504153044339029,20,148.06885101251595,5.504153044339029,-59.09141880601527,55.7940765036887,4.229844888024437,0.1100830608867806,-1.4030583364825722,1.1924865983150943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180,9000,50,50.0,50,0.0,0.003981824964284897,54.58381839795038,22.00553246214986,4.480745390988886,0.01584283309057355,28.067975658457726,0.009649499086663127,457.14189812215045,9.072921238839626e-05,8.161375045776367,-33.03717803955078,47.65204,22.736391,5.313918,7.8976984,-71659.94,136773.88,69242.086,27883.736,30919.752,133487.28,70177.35,28671.041,31587.305,133684.97,70174.78,28703.76,31638.36,10159475.0,10366199.0,0,0.99990296,0.0669433,-0.9998597,0.9682859,-0.27549917,-0.62914234,-1.0219624,0.10698706,0.75919306,0.53610426,0.359888,0.057543203
8,0.9999031,-0.13740659,-0.9998306,0.9705225,6.405759701531475,100,128.13682310795855,6.405759701531475,-62.50311930241967,38.91483003661703,10.795845841497462,0.1281151940306295,-1.513675778440452,0.9513635697015415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900,45000,50,50.0,50,0.0,0.9999848,-0.13546096,-0.99997056,0.98131764,2.5493607752982106,20,135.37564872635573,2.5493607752982106,-54.57596196005605,44.51650533061256,4.278474162030206,0.05098721550596403,-1.2001314374700494,0.9614415874000962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200,10000,50,50.0,50,0.0,0.003997317980974913,54.74755413620733,22.11142466799356,4.503022116841748,0.01606401684693992,28.103299360489473,0.009650029940530658,513.6251354787964,9.662611410021782e-05,10.906758308410645,-39.586917877197266,43.69458,23.567844,10.896988,7.5720825,-87957.95,168002.66,86734.31,37165.516,36775.082,164600.5,86256.56,37310.293,36585.28,164654.28,86334.64,37502.32,36672.887,10396451.0,10194697.0,0,0.9998732,-0.12878266,-0.9993026,0.9651346,-0.18377955,-0.6620718,-1.0002302,0.13582978,0.8321192,0.52055043,0.36779478,0.07087322
9,0.99993634,0.5694694,-0.99975884,0.73198557,-11.198208089016749,100,120.39296842313667,-11.198208089016749,-74.8084553828181,38.09412481266619,15.300707612388464,-0.22396416178033496,-1.635830335629552,0.8748098909688063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000,50000,50,50.0,50,0.0,0.99998564,0.56508625,-0.99998975,0.7468083,-6.949766670616744,20,57.54854157652166,-6.949766670616744,-54.91353125133485,30.765351021265978,6.405595681296555,-0.13899533341233483,-1.2568011407010529,0.7687549711063759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220,11000,50,50.0,50,0.0,0.003970176912844181,54.78314782935195,22.058912510983646,4.494698849041015,0.018874074798077345,28.187612438341603,0.01897895708680153,570.1362627577037,0.00010082218796014786,14.40087890625,-33.75984573364258,32.375507,19.656988,6.5896997,4.752523,-103490.53,180227.31,100829.1,53184.094,38447.992,179354.25,101865.56,47491.414,39064.08,179655.44,102003.44,47244.312,39179.406,11016453.0,12562516.0,0,0.999904,0.21245275,-0.9996489,0.94003636,-0.11664354,-0.60285336,-0.870245,0.101420306,0.88990235,0.55015576,0.41884893,0.058610536
