Epoch,evaluation/Actions Max,evaluation/Actions Mean,evaluation/Actions Min,evaluation/Actions Std,evaluation/Average Returns,evaluation/Num Paths,evaluation/Returns Max,evaluation/Returns Mean,evaluation/Returns Min,evaluation/Returns Std,evaluation/Rewards Max,evaluation/Rewards Mean,evaluation/Rewards Min,evaluation/Rewards Std,evaluation/env_infos/final/is_success Max,evaluation/env_infos/final/is_success Mean,evaluation/env_infos/final/is_success Min,evaluation/env_infos/final/is_success Std,evaluation/env_infos/initial/is_success Max,evaluation/env_infos/initial/is_success Mean,evaluation/env_infos/initial/is_success Min,evaluation/env_infos/initial/is_success Std,evaluation/env_infos/is_success Max,evaluation/env_infos/is_success Mean,evaluation/env_infos/is_success Min,evaluation/env_infos/is_success Std,evaluation/num paths total,evaluation/num steps total,evaluation/path length Max,evaluation/path length Mean,evaluation/path length Min,evaluation/path length Std,exploration/Actions Max,exploration/Actions Mean,exploration/Actions Min,exploration/Actions Std,exploration/Average Returns,exploration/Num Paths,exploration/Returns Max,exploration/Returns Mean,exploration/Returns Min,exploration/Returns Std,exploration/Rewards Max,exploration/Rewards Mean,exploration/Rewards Min,exploration/Rewards Std,exploration/env_infos/final/is_success Max,exploration/env_infos/final/is_success Mean,exploration/env_infos/final/is_success Min,exploration/env_infos/final/is_success Std,exploration/env_infos/initial/is_success Max,exploration/env_infos/initial/is_success Mean,exploration/env_infos/initial/is_success Min,exploration/env_infos/initial/is_success Std,exploration/env_infos/is_success Max,exploration/env_infos/is_success Mean,exploration/env_infos/is_success Min,exploration/env_infos/is_success Std,exploration/num paths total,exploration/num steps total,exploration/path length Max,exploration/path length Mean,exploration/path length Min,exploration/path length Std,time/data storing (s),time/epoch (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/sac training (s),time/saving (s),time/total (s),time/training (s),trainer/Alpha,trainer/Alpha Loss,trainer/Log Pis Max,trainer/Log Pis Mean,trainer/Log Pis Min,trainer/Log Pis Std,trainer/Policy Loss,trainer/Q Targets Max,trainer/Q Targets Mean,trainer/Q Targets Min,trainer/Q Targets Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Min,trainer/Q1 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Min,trainer/Q2 Predictions Std,trainer/QF1 Loss,trainer/QF2 Loss,trainer/num train calls,trainer/policy/mean Max,trainer/policy/mean Mean,trainer/policy/mean Min,trainer/policy/mean Std,trainer/policy/normal/log_std Max,trainer/policy/normal/log_std Mean,trainer/policy/normal/log_std Min,trainer/policy/normal/log_std Std,trainer/policy/normal/std Max,trainer/policy/normal/std Mean,trainer/policy/normal/std Min,trainer/policy/normal/std Std
0,0.0023313938,7.521294e-05,-0.0028319187,0.0010376902,3.3467526724225327,100,220.5914081641505,3.3467526724225327,-86.83824364785202,48.717529944845325,4.4509548491763224,0.06693505344845065,-1.7372241461623457,0.9743557035495095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,5000,50,50.0,50,0.0,0.99979174,0.0044360715,-0.9982816,0.6249813,19.625391814036966,20,177.1865080689831,19.625391814036966,-31.221181859080023,54.93983427376959,23.264064200091585,0.3925078362807394,-1.0655987879280142,1.5210379685498387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,2000,50,50.0,50,0.0,0.003749603987671435,37.079906088183634,18.007957192952745,3.6696599050192162,0.01657707500271499,15.375993824214675,0.005897660972550511,43.4963206469547,7.08260340616107e-05,1.0,-0.0,-2.656067,-4.0446863,-5.254592,0.5668003,-4.046124,10004.604,944.5546,2.560357,2913.8132,0.005245373,0.0014540257,-0.0017941477,0.0015016464,0.007579427,0.0042270245,0.00057338865,0.0014708953,9382488.0,9382483.0,0,0.002466664,0.00010970395,-0.002720168,0.0010539307,0.00088735775,-0.00051258015,-0.0023319472,0.0006630841,1.0008878,0.9994878,0.99767077,0.00066269905
1,0.99803567,0.6495181,-0.99296236,0.7201833,5.72052002815469,100,96.35360666936207,5.72052002815469,-37.47894686694465,23.797624020414368,25.229929611077416,0.1144104005630938,-1.6998568252950745,1.1736255465540202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200,10000,50,50.0,50,0.0,0.9995097,0.6398209,-0.9978497,0.70966923,1.1139347941462863,20,37.34068612751395,1.1139347941462863,-38.3198930244905,19.162761116699507,4.947616352791276,0.022278695882925702,-1.597200574618809,0.9085452946289024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60,3000,50,50.0,50,0.0,0.0038232470396906137,36.72109617548995,17.786450535058975,3.641952113015577,0.016574522014707327,15.265943815349601,0.0062761190347373486,81.89116420096252,7.582397665828466e-05,1.0847692489624023,-0.6356006264686584,19.695236,13.811501,4.983197,3.1535707,-2936.0962,12854.884,2937.9937,1174.9484,2732.0322,3986.8706,2799.1335,1665.5262,562.6713,3986.419,2796.0273,1670.6974,562.66644,7337532.5,7340318.0,0,0.9918224,0.65076995,-0.97514564,0.7219647,-0.5046207,-0.63501334,-0.74664736,0.03573048,0.60373455,0.53026694,0.4739529,0.018962068
2,0.9931519,-0.04562362,-0.9890275,0.92118526,6.1451463058310605,100,105.17181028402406,6.1451463058310605,-63.088826205393005,29.359528012762137,14.761169715445346,0.12290292611662117,-1.69420998179437,1.075855130124352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300,15000,50,50.0,50,0.0,0.99966466,-0.05799182,-0.9991785,0.910707,4.7810108861000815,20,63.82250118556374,4.7810108861000815,-44.54419654305887,25.87414569542242,25.98092686871062,0.0956202177220016,-1.7246977258565916,1.3382479815000115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80,4000,50,50.0,50,0.0,0.0038015360478311777,36.770880825817585,17.740758336964063,3.636847075074911,0.016454102005809546,15.366565944743343,0.006379258004017174,120.33577517967205,7.457297760993242e-05,1.3532764911651611,-1.6404974460601807,16.49733,11.422617,5.993901,2.4660673,-6141.37,18148.13,5763.325,2919.4646,2541.3284,8900.584,6034.179,3828.9358,1178.4414,8911.638,6034.879,3829.7175,1181.666,4858433.0,4860397.0,0,0.99147755,-0.045214105,-0.98698163,0.9234454,-0.25742564,-0.5593405,-0.709476,0.13353932,0.7730391,0.57707745,0.49190187,0.08550463
3,0.99095863,-0.0027877039,-0.98481333,0.9573448,10.798022428076274,100,90.85707806965212,10.798022428076274,-35.86441074895159,25.058411684179635,32.6748371070646,0.2159604485615255,-1.675024567759068,1.253605286895202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400,20000,50,50.0,50,0.0,0.9994559,-0.0019258199,-0.9993115,0.9360843,9.549336233216938,20,67.40351599277021,9.549336233216938,-21.47350196686091,22.01772898398658,15.381651158420098,0.19098672466433875,-1.6373688948109189,1.2474063737388885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,5000,50,50.0,50,0.0,0.003780301078222692,36.976705089677125,17.869060066062957,3.6650805369718,0.016239608987234533,15.416270602494478,0.006195412017405033,158.99596272176132,7.856206502765417e-05,1.8285456895828247,-3.4948461055755615,17.044725,11.790762,4.7143106,2.6637757,-9459.353,19380.402,9174.99,5037.22,2646.6475,13556.065,9347.686,5134.427,1650.899,13560.115,9348.094,5144.8735,1654.6202,6334404.5,6344878.0,0,0.9887637,-0.0028252164,-0.9804727,0.95706934,-0.44200543,-0.6126277,-0.6783288,0.061507374,0.64274615,0.5429849,0.50746435,0.03505998
4,0.9888858,0.31300226,-0.9811857,0.8691632,4.309253724245035,100,87.16784188411988,4.309253724245035,-39.275958780803535,23.607504890623364,23.622223504212045,0.08618507448490066,-1.87600963622266,1.1624544028017134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500,25000,50,50.0,50,0.0,0.99948156,0.30347192,-0.9992484,0.84255266,0.04669730196286901,20,40.60433951249605,0.04669730196286901,-34.47126421815866,21.990935483291977,5.836503758579416,0.0009339460392574068,-1.8487001388978168,0.902059196718742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,6000,50,50.0,50,0.0,0.0037954349536448717,36.824843663489446,17.730419817962684,3.634261585888453,0.016394989914260805,15.43353880266659,0.0063564160373061895,197.50890193041414,7.661606650799513e-05,2.394571542739868,-2.703615188598633,14.683136,9.0962,-0.6681919,2.8485587,-12106.087,23409.047,12155.199,5651.061,3082.1062,17150.717,12032.002,5713.5225,2163.889,17149.3,12029.523,5676.8403,2173.501,9318612.0,9334818.0,0,0.9854956,0.31363386,-0.9750017,0.87058485,-0.35143873,-0.5407252,-0.66168714,0.08308527,0.703675,0.58434945,0.51598006,0.048923068
5,0.9932309,-0.06382905,-0.99130464,0.9069636,6.049888098153505,100,60.324040618464004,6.049888098153505,-32.36391476774262,20.593419326851,18.03071488955188,0.12099776196307009,-1.8670220978825718,1.1981700502666928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600,30000,50,50.0,50,0.0,0.9993342,-0.075896055,-0.9995642,0.90295976,11.858673469437907,20,47.93224047259553,11.858673469437907,-12.815786141126743,18.625326029702528,6.395382158532813,0.23717346938875813,-1.571169433658767,1.0425379777410984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140,7000,50,50.0,50,0.0,0.00387654104270041,36.939250492840074,17.841336562065408,3.662649102974683,0.016470300033688545,15.408641055575572,0.0061978010926395655,236.13524745998438,7.913005538284779e-05,3.0138590335845947,-4.876349449157715,15.950729,10.420101,2.314478,3.033707,-15077.5,30914.135,15333.662,8959.194,3948.7302,22196.645,14988.117,7333.83,2800.5671,22227.836,14982.533,7305.333,2814.326,10501592.0,10500712.0,0,0.9896617,-0.06439576,-0.9862355,0.9074112,-0.21578293,-0.57433176,-0.72360337,0.1535358,0.8059102,0.5702635,0.48500147,0.09759424
6,0.99337506,0.3049886,-0.9913145,0.83246905,13.04689938774155,100,105.9552603095261,13.04689938774155,-33.32116108832376,23.214255834869718,35.47932254413083,0.260937987754831,-1.7203880303708072,1.3346848269876688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700,35000,50,50.0,50,0.0,0.9995955,0.29258537,-0.99916846,0.82088286,1.0437710661580202,20,33.50283039953495,1.0437710661580202,-31.87238559057245,18.1039861964006,9.21211189643123,0.02087542132316039,-1.543435762974935,1.0472842460265395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,8000,50,50.0,50,0.0,0.0038201609859243035,36.88270436110906,17.732508050045,3.6346578839002177,0.01668401004280895,15.488699180074036,0.006257291999645531,274.7060182802379,7.778406143188477e-05,3.7572877407073975,-2.3995912075042725,13.980112,7.8127947,-2.0419416,3.0102596,-17778.836,30157.395,17901.658,9402.042,4034.0967,25854.234,17732.27,9531.275,2964.7815,25907.896,17721.492,9447.684,2988.0103,10060656.0,10104119.0,0,0.9881868,0.30349734,-0.9838692,0.831312,-0.27912122,-0.5013003,-0.6948328,0.14505644,0.7564482,0.6122232,0.4991579,0.090275
7,0.9895565,-0.07821038,-0.9850305,0.8345891,5.972464012471064,100,94.9620386564212,5.972464012471064,-56.967792404789876,26.29498023775692,10.413137363448223,0.11944928024942128,-2.008795436042018,1.1016627892688409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800,40000,50,50.0,50,0.0,0.9997178,-0.062563255,-0.99899906,0.86336565,1.5898932139356237,20,61.916433630489166,1.5898932139356237,-42.67364922652179,27.626432715981775,5.397018573588946,0.031797864278712486,-1.6501989170351015,1.0360911159231536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180,9000,50,50.0,50,0.0,0.003941098926588893,37.04061873140745,17.850900370045565,3.6612572430167347,0.016478096949867904,15.50168779946398,0.006277509965002537,313.44750688632485,7.661303970962763e-05,4.9212517738342285,-2.91886568069458,14.1278925,7.83166,0.559,2.676463,-20331.598,38152.39,20532.928,12979.757,4166.5674,29078.344,20245.844,12991.041,3111.162,29153.836,20242.703,12879.937,3133.431,8768203.0,8793200.0,0,0.98757046,-0.08031568,-0.9835631,0.8392009,0.14959833,-0.45799124,-0.71899575,0.26155698,1.1613677,0.6568048,0.48724133,0.19801292
8,0.985566,0.01492423,-0.98553085,0.8906445,7.074378229556063,100,83.61804004068937,7.074378229556063,-43.668738421478835,29.402739899519787,8.77300623281442,0.14148756459112127,-1.7362812313304465,1.1388051654188536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900,45000,50,50.0,50,0.0,0.9991532,0.020799445,-0.99949175,0.8666697,5.959337206031307,20,51.15694994381872,5.959337206031307,-25.704091559798528,25.735124317214197,7.9851261130338065,0.11918674412062615,-1.675985350653128,1.0953256464060734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200,10000,50,50.0,50,0.0,0.0038479939103126526,36.79978423845023,17.70710550597869,3.631950223003514,0.016390328062698245,15.434165662503801,0.006246290053240955,351.93519072339404,7.823493797332048e-05,5.978484630584717,-2.3811323642730713,12.210486,7.331605,-1.9258347,2.8405938,-21570.93,35284.29,21997.986,12667.704,4577.8564,31902.148,21518.32,14073.42,3570.8398,32035.314,21551.139,13952.392,3600.974,11474671.0,11385395.0,0,0.9817907,0.01580107,-0.9833674,0.8899452,-0.25724524,-0.5165958,-0.70682555,0.1369524,0.7731786,0.60223025,0.49320737,0.083789125
9,0.98318833,-0.24097714,-0.9839675,0.8614221,8.122467840231364,100,106.95993228637867,8.122467840231364,-40.762498024153196,23.785011251003258,17.564050556397174,0.16244935680462727,-1.896303921338765,1.165732442680206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000,50000,50,50.0,50,0.0,0.99902976,-0.19259651,-0.99932647,0.8507231,3.5632800321023197,20,79.39252329295176,3.5632800321023197,-29.39225533739323,23.372789311323753,10.93427125556499,0.0712656006420464,-1.981087547681183,1.1965229062547433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220,11000,50,50.0,50,0.0,0.0038368230452761054,36.87719699903391,17.761272040079348,3.6450912250438705,0.016501044970937073,15.444232912966982,0.006186202983371913,390.50993050588295,7.67499441280961e-05,7.304410457611084,-3.1332297325134277,12.73331,7.575692,-1.9417534,2.971171,-24980.541,42701.562,24935.477,15812.302,4594.1025,35584.164,24973.504,15844.156,4032.806,35477.496,24971.441,15720.115,4026.7742,7940536.0,7872461.5,0,0.9795271,-0.24354929,-0.98483855,0.86309314,-0.2575346,-0.5269482,-0.72098005,0.13407958,0.7729549,0.5958392,0.48627543,0.08224534
