Epoch,evaluation/Actions Max,evaluation/Actions Mean,evaluation/Actions Min,evaluation/Actions Std,evaluation/Average Returns,evaluation/Num Paths,evaluation/Returns Max,evaluation/Returns Mean,evaluation/Returns Min,evaluation/Returns Std,evaluation/Rewards Max,evaluation/Rewards Mean,evaluation/Rewards Min,evaluation/Rewards Std,evaluation/env_infos/final/is_success Max,evaluation/env_infos/final/is_success Mean,evaluation/env_infos/final/is_success Min,evaluation/env_infos/final/is_success Std,evaluation/env_infos/initial/is_success Max,evaluation/env_infos/initial/is_success Mean,evaluation/env_infos/initial/is_success Min,evaluation/env_infos/initial/is_success Std,evaluation/env_infos/is_success Max,evaluation/env_infos/is_success Mean,evaluation/env_infos/is_success Min,evaluation/env_infos/is_success Std,evaluation/num paths total,evaluation/num steps total,evaluation/path length Max,evaluation/path length Mean,evaluation/path length Min,evaluation/path length Std,exploration/Actions Max,exploration/Actions Mean,exploration/Actions Min,exploration/Actions Std,exploration/Average Returns,exploration/Num Paths,exploration/Returns Max,exploration/Returns Mean,exploration/Returns Min,exploration/Returns Std,exploration/Rewards Max,exploration/Rewards Mean,exploration/Rewards Min,exploration/Rewards Std,exploration/env_infos/final/is_success Max,exploration/env_infos/final/is_success Mean,exploration/env_infos/final/is_success Min,exploration/env_infos/final/is_success Std,exploration/env_infos/initial/is_success Max,exploration/env_infos/initial/is_success Mean,exploration/env_infos/initial/is_success Min,exploration/env_infos/initial/is_success Std,exploration/env_infos/is_success Max,exploration/env_infos/is_success Mean,exploration/env_infos/is_success Min,exploration/env_infos/is_success Std,exploration/num paths total,exploration/num steps total,exploration/path length Max,exploration/path length Mean,exploration/path length Min,exploration/path length Std,time/data storing (s),time/epoch (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/sac training (s),time/saving (s),time/total (s),time/training (s),trainer/Alpha,trainer/Alpha Loss,trainer/Log Pis Max,trainer/Log Pis Mean,trainer/Log Pis Min,trainer/Log Pis Std,trainer/Policy Loss,trainer/Q Targets Max,trainer/Q Targets Mean,trainer/Q Targets Min,trainer/Q Targets Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Min,trainer/Q1 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Min,trainer/Q2 Predictions Std,trainer/QF1 Loss,trainer/QF2 Loss,trainer/num train calls,trainer/policy/mean Max,trainer/policy/mean Mean,trainer/policy/mean Min,trainer/policy/mean Std,trainer/policy/normal/log_std Max,trainer/policy/normal/log_std Mean,trainer/policy/normal/log_std Min,trainer/policy/normal/log_std Std,trainer/policy/normal/std Max,trainer/policy/normal/std Mean,trainer/policy/normal/std Min,trainer/policy/normal/std Std
0,0.0015492248,-8.1770224e-05,-0.0018233747,0.00063978066,-43.895675932869686,20,-0.4061065859771879,-43.895675932869686,-89.95238409918635,21.30739211990859,-0.004949276101828992,-0.8779135186573938,-1.7996012409251079,0.4261492581406436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,1000,50,50.0,50,0.0,0.9976371,0.01517143,-0.9989321,0.62749183,-50.05086461642657,20,-5.073503930403702,-50.05086461642657,-91.695521819863,23.314986862075674,0.3003097697095876,-1.0010172923285312,-2.250310200744489,0.5084309108227065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,2000,50,50.0,50,0.0,0.003844335995381698,22.196855641057482,3.5747712049924303,3.673350124998251,0.006252462000702508,14.933228245077771,0.005333206994691864,34.51239655590325,7.60609982535243e-05,1.0,-0.0,-2.3276014,-4.0322986,-5.2194123,0.52991605,-4.032213,6.3520775,3.9105127,1.8988731,0.857032,0.0027382006,0.00067791005,-0.0019121259,0.0010548572,0.004598976,0.0005231475,-0.0022102573,0.0014766848,16.02132,16.022438,0,0.0016168491,-0.00015522477,-0.0016678503,0.0006392045,0.0013849677,-4.549608e-05,-0.0014881234,0.0005595554,1.0013859,0.99995464,0.998513,0.00055956864
1,0.117927656,-0.010365775,-0.21487296,0.047873225,-42.497473592682965,20,3.173602504721444,-42.497473592682965,-75.91158086302744,17.9314646852597,0.1707237139038235,-0.8499494718536592,-1.7060745011328673,0.37253682591059406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,2000,50,50.0,50,0.0,0.9967161,-0.0050550285,-0.9961418,0.5957272,-41.43418331726389,20,-18.570291090186103,-41.43418331726389,-82.74055184472064,16.326686411836466,0.062041493084088795,-0.8286836663452778,-1.8471224059739493,0.40264494845944154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60,3000,50,50.0,50,0.0,0.003924570002709515,22.550525547892903,3.59140584099805,3.7095805239951005,0.006502675008960068,15.233270897864713,0.005769203009549528,65.47350269579329,7.183701382018626e-05,0.7408233284950256,-3.031414270401001,-3.1887913,-4.104946,-5.2062483,0.33406663,-17.185043,20.03695,13.75831,9.380109,1.512307,19.984005,14.221077,10.124876,1.3877872,19.533863,14.191431,10.179021,1.3843839,0.8445583,0.8172569,0,0.119130485,-0.014103453,-0.21938695,0.053039737,-0.07234838,-0.11664311,-0.19337428,0.018939778,0.9302068,0.89006186,0.82417345,0.01677802
2,0.43382725,0.0018362817,-0.4517268,0.114665836,-51.58854931572688,20,-26.798309602087752,-51.58854931572688,-74.27075541351685,14.203726670619488,-0.08745508898600712,-1.0317709863145375,-1.6058906575546719,0.3203667539088978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60,3000,50,50.0,50,0.0,0.99694395,-0.0065950113,-0.9975362,0.5978903,-45.69511185228542,20,-11.983355276160587,-45.69511185228542,-95.56980556636961,22.07540270043387,0.38758905847050185,-0.9139022370457085,-2.1090762686407545,0.4979556774449964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80,4000,50,50.0,50,0.0,0.003876520990161225,22.842521005994058,3.5696257109957514,3.688768929001526,0.006309692995273508,15.5681804640044,0.005683833995135501,96.6176282249071,7.585401181131601e-05,0.5490591526031494,-5.995165824890137,-2.6795087,-3.9994574,-5.8997154,0.45742798,-24.624645,27.556437,22.5904,16.270649,2.5515416,26.97565,22.473225,16.154892,2.3922703,27.510204,22.57779,15.980138,2.4352002,0.9315083,1.0256624,0,0.34185976,-0.0012585445,-0.4271867,0.122566715,-0.0507271,-0.10734576,-0.18183297,0.020981504,0.95053804,0.89841264,0.8337406,0.018831326
3,0.63023233,-0.031013759,-0.60452,0.20112176,-54.23970244169716,20,-34.160392924984464,-54.23970244169716,-88.12027975400831,13.887942135886915,-0.1007814270665997,-1.0847940488339431,-1.9254969653238523,0.3416269796049674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80,4000,50,50.0,50,0.0,0.9980496,-0.021568263,-0.99912524,0.61551756,-52.22185649167941,20,-27.504677408653283,-52.22185649167941,-79.5788878258656,13.33234131462229,-0.34779832931214416,-1.0444371298335882,-2.0778311432825007,0.3456522578274527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,5000,50,50.0,50,0.0,0.0038850739947520196,22.451650567018078,3.6056377719942247,3.6914056170062395,0.006242040995857678,15.138637535026646,0.005766082991613075,127.39712481293827,7.644500874448568e-05,0.4073129892349243,-8.904268264770508,-1.8618011,-3.9137516,-5.9694343,0.69291365,-30.893795,37.47312,29.199196,17.21182,3.929789,38.845104,29.385746,18.588194,3.7058465,39.408367,29.441208,17.768133,3.7529078,1.6759473,1.6746697,0,0.47354394,-0.044432912,-0.6744392,0.19501472,0.019982224,-0.08203975,-0.1646735,0.02640637,1.0201832,0.92155725,0.8481706,0.024417646
4,0.84065586,-0.007505212,-0.77695143,0.2697614,-50.22842541526494,20,-17.971967524973923,-50.22842541526494,-81.34971936985912,17.170088857259366,-0.10840536731419714,-1.004568508305299,-1.9121062267480518,0.4039658203387881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,5000,50,50.0,50,0.0,0.9986298,-0.008285701,-0.9996413,0.61946857,-51.11595499170796,20,-22.481329436253652,-51.11595499170796,-89.01814482256857,15.769625916491846,0.04556566939323842,-1.0223190998341591,-1.94312415421133,0.4138580696636316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,6000,50,50.0,50,0.0,0.003855571005260572,22.405418529655435,3.621062409001752,3.637831248997827,0.006296663996181451,15.130595556664048,0.005704684997908771,158.10719975050597,7.239499245770276e-05,0.30306029319763184,-11.601533889770508,-0.34076548,-3.717964,-6.5487356,1.0520284,-34.66106,41.933434,33.256676,16.032793,5.5371604,42.941517,33.51539,18.679844,5.43129,43.18486,33.57695,17.653309,5.519533,1.3920879,1.2306097,0,0.80251175,0.016021416,-0.6981261,0.2857729,0.06249443,-0.06675017,-0.2261596,0.03485469,1.0644885,0.9359974,0.7975908,0.03265917
5,0.96119994,-0.031881202,-0.9614489,0.36949012,-50.90874492015049,20,-16.778305400143104,-50.90874492015049,-81.49912089244171,18.818790536423826,0.10105604760121789,-1.01817489840301,-1.9261160669523791,0.445110744745672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,6000,50,50.0,50,0.0,0.999208,-0.03292846,-0.99900514,0.6432319,-45.6755567870558,20,-12.672160181065232,-45.6755567870558,-85.73520801219652,17.758216390783236,-0.011848936404113553,-0.9135111357411159,-1.9237043982086202,0.42011356638606917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140,7000,50,50.0,50,0.0,0.0038664759922539815,22.09334376215702,3.612771921005333,3.7131384410022292,0.006282223999733105,14.751456703161239,0.005749834002926946,188.56616848372505,7.816299330443144e-05,0.22655311226844788,-13.868038177490234,2.2369614,-3.3401556,-6.884573,1.5599867,-36.78209,48.74221,36.011208,13.234991,6.790705,47.827927,36.10891,13.738718,6.687097,47.60739,35.867126,13.52744,6.660903,1.726055,1.8659356,0,0.9363797,-0.042550385,-0.97654045,0.3942372,0.14616685,-0.07339916,-0.4548599,0.0728539,1.1573893,0.9315962,0.63453686,0.063988455
6,0.99663293,0.029071946,-0.9448307,0.42076305,-42.906506837147354,20,-10.809258321621131,-42.906506837147354,-82.91912519731972,19.07276605537252,0.04321435733668644,-0.8581301367429471,-1.774966815999429,0.40934440564222857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140,7000,50,50.0,50,0.0,0.99914914,0.016048132,-0.9996579,0.6582117,-40.872376594791334,20,-19.398922506300423,-40.872376594791334,-63.01724729673685,11.282232876438119,0.18278650256276002,-0.8174475318958268,-2.020604094705645,0.3435855694077194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,8000,50,50.0,50,0.0,0.0038551909965462983,22.124142840970308,3.645812432994717,3.720644902001368,0.006323722001980059,14.741721644983045,0.00570733098720666,219.1016181451123,7.761700544506311e-05,0.1706685870885849,-14.814085006713867,3.0380554,-2.378857,-7.551646,1.9819742,-38.22369,49.87161,37.241608,12.324249,7.755792,50.548187,37.60418,13.3267355,7.528237,50.986553,37.59354,12.968245,7.537525,2.0237732,1.8849938,0,0.97634584,-0.0044417507,-0.9671246,0.48835942,0.27220798,-0.08620507,-0.63062507,0.099810906,1.31286,0.92179465,0.532259,0.0869264
7,0.99802285,0.057329904,-0.97514516,0.4884593,-31.462485884852903,20,-8.413284562781307,-31.462485884852903,-51.75192941452703,12.863560899793866,0.24575815381828475,-0.6292497176970581,-1.8991220288313886,0.36399835787383217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,8000,50,50.0,50,0.0,0.9993032,0.07377183,-0.9987238,0.6683057,-37.739408111039715,20,-15.225833299538689,-37.739408111039715,-64.72032783466645,14.167362751983092,0.9047356895190559,-0.7547881622207943,-1.8622837148704496,0.41100709208006314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180,9000,50,50.0,50,0.0,0.0039017540111672133,22.187290429064888,3.6175676160055446,3.8039206600078614,0.006313334000878967,14.749796763047925,0.005717749998439103,249.71830700236023,7.25519930711016e-05,0.1299804300069809,-14.587183952331543,7.9242716,-1.1492789,-6.909137,2.5158317,-38.445732,53.48047,38.044598,3.4378877,9.07938,53.3527,37.63565,5.5082974,8.982476,54.122906,37.948402,5.7381735,8.979064,2.5611734,2.55759,0,0.9911922,0.07652835,-0.9762739,0.56450814,0.15344587,-0.13040395,-0.7134225,0.124118,1.1658447,0.8841079,0.48996443,0.10019065
8,0.99416155,0.010831473,-0.9953333,0.5663166,-31.685968266492136,20,-4.7873358465780385,-31.685968266492136,-54.51113559424983,13.072615981400558,0.21257746100628205,-0.6337193653298427,-1.7320664492028373,0.3570680408432581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180,9000,50,50.0,50,0.0,0.9994409,-0.020044882,-0.999719,0.6865821,-33.30685135791938,20,-14.118836731951912,-33.30685135791938,-45.59324919477693,8.198820483079556,0.23039158588892733,-0.6661370271583874,-1.7140229128459061,0.3019367578477233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200,10000,50,50.0,50,0.0,0.00389626799733378,22.0138787249889,3.6062031089968514,3.660899367008824,0.00643479400605429,14.730592806983623,0.005772899996372871,280.12210353334376,7.947999984025955e-05,0.0997508242726326,-14.478741645812988,8.634758,-0.2812316,-10.870792,2.7748013,-39.672207,56.40901,39.291977,15.83356,8.6925125,58.459118,38.904556,16.34861,9.008914,58.19858,39.03354,15.638106,8.918056,3.0474787,2.3959947,0,0.9938493,0.0134707205,-0.9974724,0.6113722,0.14589964,-0.16757245,-0.7881627,0.15825221,1.15708,0.8558231,0.4546794,0.12579928
9,0.99934286,-0.059557598,-0.9991533,0.5597798,-29.375714838583747,20,-5.571635664446933,-29.375714838583747,-66.37498303898383,15.071180593508318,0.23942528765457677,-0.5875142967716751,-1.9602549228070134,0.41524852945184765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200,10000,50,50.0,50,0.0,0.99999326,-0.07090666,-0.9997876,0.68239874,-32.35330997952108,20,-6.845760516497859,-32.35330997952108,-54.92190093140119,12.875994857226562,0.2913466893762857,-0.6470661995904216,-1.9460810519727678,0.42205410805682764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220,11000,50,50.0,50,0.0,0.003886086997226812,22.139242839766666,3.667745617000037,3.7435333890025504,0.006459297990659252,14.711861430769204,0.005679637004504912,310.7332080200431,7.738100248388946e-05,0.07679431885480881,-15.79126262664795,8.85905,-0.15254103,-6.241126,3.3249347,-40.73043,59.897907,40.68226,14.8665695,10.551363,58.678154,40.17153,15.089947,10.415661,59.259464,40.210808,13.806646,10.409451,2.6922293,2.5348678,0,0.998179,-0.009907055,-0.9970829,0.62553173,0.31871915,-0.20708416,-0.85283995,0.1707306,1.375365,0.82424337,0.4262028,0.13058262
